"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,28,,
"CZE","Czech Republic","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,136,,
"CZE","Czech Republic","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,136,,
"CZE","Czech Republic","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,75.1,,
"CZE","Czech Republic","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,1,,
"CZE","Czech Republic","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,1,,
"DNK","Denmark","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"DNK","Denmark","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,18,,
"DNK","Denmark","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,32,,
"DNK","Denmark","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,32,,
"DNK","Denmark","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,50,,
"DNK","Denmark","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,50,,
"DNK","Denmark","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,2,,
"DNK","Denmark","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,2,,
"FIN","Finland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17.5,,
"FIN","Finland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,17.5,,
"FIN","Finland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,143.5,,
"FIN","Finland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,143.5,,
"FIN","Finland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,161,,
"FIN","Finland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,161,,
"FIN","Finland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,9,,
"FIN","Finland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,9,,
"FRA","France","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"FRA","France","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"FRA","France","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,146,,
"FRA","France","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,146,,
"FRA","France","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,42,,
"FRA","France","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,42,,
"FRA","France","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,28,,
"FRA","France","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,28,,
"DEU","Germany","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,14,,
"DEU","Germany","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,14,,
"DEU","Germany","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,148,,
"DEU","Germany","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,148,,
"DEU","Germany","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,58,,
"DEU","Germany","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,58,,
"DEU","Germany","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,8.7,,
"DEU","Germany","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,8.7,,
"GRC","Greece","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,43,,
"GRC","Greece","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,43,,
"GRC","Greece","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17.3,,
"GRC","Greece","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,17.3,,
"GRC","Greece","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,43,,
"GRC","Greece","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,43,,
"GRC","Greece","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0.4,,
"GRC","Greece","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0.4,,
"HUN","Hungary","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,24,,
"HUN","Hungary","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,24,,
"HUN","Hungary","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,136,,
"HUN","Hungary","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,136,,
"HUN","Hungary","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,160,,
"HUN","Hungary","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,160,,
"HUN","Hungary","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,1,,
"HUN","Hungary","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,1,,
"ISL","Iceland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17.3,,
"ISL","Iceland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"ISL","Iceland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,30.3,,
"ISL","Iceland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,30.3,,
"ISL","Iceland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,26,,
"ISL","Iceland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,32,,
"ISL","Iceland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17.3,,
"ISL","Iceland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,20,,
"IRL","Ireland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,42,,
"IRL","Ireland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,42,,
"IRL","Ireland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,22,,
"IRL","Ireland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"IRL","Ireland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,28,,
"IRL","Ireland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,31,,
"IRL","Ireland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,4,,
"IRL","Ireland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,7,,
"ITA","Italy","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,21.7,,
"ITA","Italy","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,21.7,,
"ITA","Italy","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,26,,
"ITA","Italy","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"ITA","Italy","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,47.7,,
"ITA","Italy","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,47.7,,
"ITA","Italy","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0.8,,
"ITA","Italy","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0.8,,
"JPN","Japan","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,14,,
"JPN","Japan","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,14,,
"JPN","Japan","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,44,,
"JPN","Japan","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,44,,
"JPN","Japan","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,58,,
"JPN","Japan","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,58,,
"JPN","Japan","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,52,,
"JPN","Japan","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,52,,
"KOR","Korea","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,12.9,,
"KOR","Korea","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,12.9,,
"KOR","Korea","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,52,,
"KOR","Korea","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,52,,
"KOR","Korea","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,64.9,,
"KOR","Korea","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,64.9,,
"KOR","Korea","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,54,,
"KOR","Korea","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,54,,
"LUX","Luxembourg","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,20,,
"LUX","Luxembourg","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,20,,
"LUX","Luxembourg","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,26,,
"LUX","Luxembourg","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"LUX","Luxembourg","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,46,,
"LUX","Luxembourg","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,46,,
"LUX","Luxembourg","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,28,,
"LUX","Luxembourg","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,28,,
"MEX","Mexico","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,12,,
